"year","month","fleet","sex2","partition","N","F_25","F_30","F_35","F_40","F_45","F_50","F_55","F_60","F_65","F_70","F_75","F_80","F_85","F_90","F_95","F_100","F_105","F_110","F_115","M_25","M_30","M_35","M_40","M_45","M_50","M_55","M_60","M_65","M_70","M_75","M_80","M_85","M_90","M_95","M_100","M_105","M_110","M_115"
2005,1,3,3,0,1420,0,0,0,0,0,0,0,0,2,29,112,125,157,203,153,108,42,13,2,0,0,0,0,0,0,0,0,3,82,220,117,43,6,3,0,0,0,0
2006,1,3,3,0,898,0,0,0,0,0,0,0,0,3,48,95,97,117,127,95,50,12,7,0,0,0,0,0,0,0,0,0,0,46,106,71,19,4,1,0,0,0,0
2007,1,3,3,0,1250,0,0,0,0,0,0,0,0,0,20,82,90,141,158,143,68,20,8,3,0,0,0,0,0,0,0,0,0,32,229,191,55,9,1,0,0,0,0
2008,1,3,3,0,1249,0,0,0,0,1,0,0,0,1,22,96,150,202,214,140,87,29,6,2,0,0,0,0,0,0,0,0,0,19,132,100,41,5,1,0,0,1,0
2009,1,3,3,0,1190,0,0,0,0,0,0,0,0,1,14,69,139,173,187,133,105,33,7,3,0,0,0,0,0,0,0,0,2,24,131,120,41,6,2,0,0,0,0
2010,1,3,3,0,884,0,0,0,0,0,0,0,0,0,15,58,100,146,146,103,71,25,3,2,0,0,0,0,1,0,0,0,0,11,76,95,26,5,1,0,0,0,0
2012,1,3,3,0,200,0,0,0,0,0,0,0,0,1,6,22,29,30,34,23,27,6,3,0,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0,1,0,0,0
2013,1,3,3,0,600,0,0,0,0,0,0,0,0,0,0,10,69,130,140,100,66,26,7,2,0,0,0,0,0,0,0,0,0,0,1,22,21,5,1,0,0,0,0
2003,1,4,3,0,2944,0,0,0,0,0,19,123,273,354,288,234,204,110,75,34,15,3,0,0,0,0,0,0,0,8,68,163,183,209,225,175,126,51,3,1,0,0,0
2004,1,4,3,0,2057,0,0,0,0,7,40,131,216,191,167,96,65,45,25,8,3,0,0,0,0,0,0,0,4,24,82,176,135,168,181,158,102,26,7,0,0,0,0
2005,1,4,3,0,4131,0,0,0,1,2,32,107,215,328,371,298,225,152,67,38,14,9,2,0,0,0,0,0,2,18,79,184,318,572,694,316,78,7,2,0,0,0,0
2007,1,4,3,0,2722,0,0,1,4,37,106,201,232,258,225,170,129,58,22,20,1,0,0,0,0,0,1,3,17,60,101,138,178,269,240,144,79,26,2,0,0,0,0
2008,1,4,3,0,1686,0,0,0,0,0,35,86,164,199,142,81,51,31,11,7,0,1,0,0,0,0,0,0,0,12,52,70,155,238,191,98,38,20,4,0,0,0,0
2009,1,4,3,0,1101,0,0,0,0,0,0,13,58,145,126,90,36,16,5,2,0,1,0,0,0,0,0,0,0,0,5,27,85,173,228,81,8,2,0,0,0,0,0
2010,1,4,3,0,2700,0,0,0,0,10,45,91,181,188,230,200,190,124,58,26,10,5,0,0,0,0,0,1,4,24,54,126,175,253,348,216,104,34,3,0,0,0,0
2011,1,4,3,0,5720,0,0,0,0,3,22,107,273,476,543,502,282,122,60,12,5,1,0,0,0,0,0,0,2,17,68,175,446,1022,1068,430,76,8,0,0,0,0,0
2012,1,4,3,0,2634,0,0,0,0,4,23,81,135,185,241,264,191,139,83,61,22,7,3,0,0,0,1,0,3,16,63,105,139,234,317,202,89,24,2,0,0,0,0
2013,1,4,3,0,5769,0,0,0,0,15,40,81,296,494,568,440,269,122,59,21,12,2,0,0,0,0,0,0,9,30,59,121,368,952,1159,522,120,9,1,0,0,0,0
2014,1,4,3,0,3195,0,0,0,1,14,45,115,192,213,203,200,183,153,80,33,5,3,0,0,0,0,0,0,2,35,114,187,242,397,438,253,74,12,1,0,0,0,0
2015,1,4,3,0,5274,0,0,0,0,1,6,48,159,365,432,443,294,186,110,71,32,12,4,1,0,0,0,0,1,13,21,109,293,838,1166,537,119,11,2,0,0,0,0
2016,1,4,3,0,2289,0,0,0,0,2,27,94,195,190,96,88,59,32,23,17,5,2,0,0,0,0,0,0,1,17,58,160,181,318,430,224,59,10,1,0,0,0,0
2018,1,4,3,0,5299,0,0,0,0,0,5,29,99,288,386,417,315,318,196,123,47,11,5,0,0,0,0,0,0,7,24,75,282,794,1161,568,133,14,2,0,0,0,0
2019,1,4,3,0,3834,0,1,0,0,3,28,87,228,275,225,241,202,184,100,68,22,8,0,0,0,0,0,1,1,13,42,139,258,492,672,395,125,21,3,0,0,0,0
2021,1,4,3,0,4021,0,0,0,0,3,11,66,160,204,241,316,350,381,332,219,82,47,8,1,0,0,0,1,3,6,24,72,141,307,562,367,102,15,0,0,0,0,0
2022,1,4,3,0,5915,0,0,0,0,0,10,27,125,327,580,694,620,432,215,94,39,11,2,0,0,0,0,0,0,3,13,66,217,787,1093,481,72,7,0,0,0,0,0
2023,1,4,3,0,3070,0,0,0,5,22,75,176,233,280,216,221,173,140,90,48,12,1,0,0,0,0,0,4,7,27,83,119,168,260,403,220,77,8,2,0,0,0,0
